htid,title,author,year,source
mdp.39015000520174,That Hideous Strength,C. S. Lewis,1945,laure
uc1.$b102397,Peabody's Mermaid,Guy Pearce Jones & Constance Bridges Jones,1945,laure
coo.31924014517670,Animal Farm: A Fairy Story,George Orwell,1945,laure
dul1.ark:/13960/t2k69nz10,Animal Farm,George Orwell,1945,laure
uc1.31210018344877,Danger Planet,Brett Sterling,1945,laure
uc1.32106002021571,All Hallows' Eve,Charles Williams,1945,laure
mdp.39015038916485,The Great Divorce,C. S. Lewis,1945,laure
osu.32435018481507,The Metal Monster,A. Merritt,1945,laure
mdp.39015060574517,When the Birds Fly South,Stanton A. Coblentz,1945,laure
uva.x000987209,Witch House,Evangeline Walton,1945,laure
uc1.$b85998,Mr. Allenby Loses the Way,Frank Baker,1945,laure
mdp.39015024085048,The Angry Planet: An Authentic First-Hand Account of a Journey to Mars in the Space-Ship Albatross,John Keir Cross,1945,laure
mdp.39015005468767,Stuart Little,E. B. White,1945,laure
mdp.39015003451690,The White Deer,James Thurber,1945,laure
pur1.32754064981453,In What Strange Land ...?,Pierre Véry,1945,laure
inu.32000009141641,"The Indiscretions of an Infant; or, The Baby's Revenge",Donald Cowie,1945,laure
umn.319510019582933,The Call of the Phoenix,Dorothy Thomas,1945,laure
uc1.b3688338,Millennium 1,W. A. Dwiggins,1945,laure
uc1.$b787445,The Next Horizon,Douglas Reed,1945,laure
mdp.39015010419169,The Bears' Famous Invasion of Sicily,Dino Buzzati,1945,laure
mdp.39015055105798,The Experience of the Night,Marcel Béalu,1945,laure
cub.p105383014014,Strange Daughter,Louis de Wohl,1945,laure
mdp.39015063939071,Death in the Mind,Richard Lockridge & G. H. Estabrooks,1945,laure
mdp.39015005685832,The Path of the Great,Stephen Gargilis,1945,laure
umn.31951002374909w,The Temple of Amon Ra,Mary Gray,1945,laure
osu.32435013510391,The Woman in the House,Robert Hichens,1945,laure
uc1.$b249474,Mr. Wilmer,Robert Lawson,1945,laure
uc1.$b790364,Mount Kestrel,An Pilibín,1945,laure
inu.39000002943509,Death Into Life,Olaf Stapledon,1946,laure
mdp.39015062110666,Titus Groan,Mervyn Peake,1946,laure
mdp.39015008740634,Slan,A. E. van Vogt,1946,laure
mdp.39015066651012,The Skylark of Space,E. E. 'Doc' Smith,1946,laure
uva.x000280174,The Skylark of Space,Edward E. Smith & Lee Hawkins Garby,1946,laure
mdp.39015056438271,The Shadow Girl,Ray Cummings,1946,laure
mdp.39015065929328,The Time Stream,John Taine,1946,laure
mdp.39015030857844,Mistress Masham's Repose,T. H. White,1946,laure
mdp.39015019180713,The Little White Horse,Elizabeth Goudge,1946,laure
uc1.$b56989,The Unforeseen,Dorothy Macardle,1946,laure
uc1.$b783910,Fantastic Summer,Dorothy Macardle,1946,laure
nyp.33433079523662,Deliver Me from Eva,Paul Bailey,1946,laure
uc1.$b85997,Before I Go Hence: Fantasia on a Novel,Frank Baker,1946,laure
uc1.$b85999,Embers: A Winter Tale,Frank Baker,1946,laure
wu.89014640072,The Return of the Time Machine,Egon Friedell,1946,laure
uc1.b3687703,Mr. Adam,Pat Frank,1946,laure
cub.p101181612005,People of the Twilight,H. Kaner,1946,laure
uc1.31210014845810,The Sun Queen,H. Kaner,1946,laure
mdp.39015019369829,The Unfortunate Fursey,Mervyn Wall,1946,laure
mdp.39015030728672,There Were Two Pirates,James Branch Cabell,1946,laure
uiug.30112055289661,The Doll,L. A. G. Strong,1946,laure
uc1.32106001758116,All Men Are Mortal,Simone de Beauvoir,1946,laure
pst.000033325187,Comet in Moominland,Tove Jansson,1946,laure
coo.31924022486355,Sea Change,Barbara Hunt,1946,laure
uc1.$b111817,Sarah Mandrake,Maggie-Owen Wadelton,1946,laure
mdp.39015033397988,Star of the Unborn,Franz Werfel,1946,laure
uiug.30112003175947,Brotherhood of Mt. Shasta,Eugene E. Thomas,1946,laure
pst.000022016430,Pippi Goes on Board,Astrid Lindgren,1946,laure
pst.000026636450,Miss Hickory,Carolyn Sherwin Bailey,1946,laure
pst.000005490424,I Found Cleopatra,Thomas P. Kelley,1946,laure
uc1.$b299829,Sweet River in the Morning,Winston Clewes,1946,laure
uva.x000876210,Eve's Second Apple,Barnaby Dogbolt,1946,laure
mdp.39015031233847,Intimations of Eve,Vardis Fisher,1946,laure
nnc1.cu53267893,Across the Borderline,Charles V. P. Young,1946,laure
mdp.39015031237988,What Farrar Saw,James Hanley,1946,laure
hvd.hnp8f5,The Devil in Woodford Wells: A Fantastic Novel,Harold Hobson,1946,laure
mdp.39015047643500,The Miracle of the Bells,Russell Janney,1946,laure
uc1.$b103919,Four Great Oaks,Mildred McNaughton,1946,laure
cub.p101151914013,Bridge Over Dark Gods: An Occult Novel,Furze Morrish,1946,laure
uc1.$b302078,Visit of the Princess: A Romance of the Nineteen-Sixties,R. H. Mottram,1946,laure
uva.x030787201,Pushing Buttons,H. H. Siegele,1946,laure
mdp.39015030858008,The Pale Blonde of Sands Street,William Chapman White,1946,laure
mdp.39015016437082,The Saint and the Hunchback,Donald A. Stauffer,1946,laure
mdp.39015025370522,The Bear That Wasn't,Frank Tashlin,1946,laure
mdp.39015011323402,The Beast of the Haitian Hills,Phillippe Thoby-Marcelin & Pierre Marcelin,1946,laure
uva.x030582635,Balm of Gilead,Agnes Rothery,1946,laure
uc1.32106013492290,Blades from the Willows,Huanzhulouzhu,1946,laure
uc1.31822043028596,War in the Atomic Age?,"Captain Walter Karig, U.S.N.R.",1946,laure
